internship_title,organization,skills_required,min_gpa,qualification,location,deadline,application_link,internship_url,source,description,stipend,duration,status
6 MONTHS INTERNSHIP IN SALESFORCE ADMINISTRATION & DEVELOPMENT,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,05-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzA3MDA3NjlhOTVjYmY0Nzg5ZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzA3MDA3NjlhOTVjYmY0Nzg5ZA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN SALESFORCE ADMINISTRATION & DEVELOPMENT internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN GENERATIVE AI,SURE Trust,"Python, Machine Learning",0.0,Any Graduate,Pan India,05-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzA2ODA0NjlhOTViZjRhOGY1OA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyNzA2ODA0NjlhOTViZjRhOGY1OA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN GENERATIVE AI internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
BUSINESS ANALYTICS INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Communication, MS Office",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyMTc3OTA2NjlhMTQ5ZjIwYjBlYw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyMTc3OTA2NjlhMTQ5ZjIwYjBlYw==,AICTE Internship Portal,BUSINESS ANALYTICS INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
"6 MONTHS INTERNSHIP IN  INDUSTRY FOCUSED, AI AUGMENTED, MENTOR LED NEXT GEN CIVIL ENGINEERING",SURE Trust,"Python, Machine Learning",0.0,Any Graduate,Pan India,27-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyMTc0MDAxNjlhMTNhYjE4ODBkYQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcyMTc0MDAxNjlhMTNhYjE4ODBkYQ==,AICTE Internship Portal,"6 MONTHS INTERNSHIP IN  INDUSTRY FOCUSED, AI AUGMENTED, MENTOR LED NEXT GEN CIVIL ENGINEERING internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.",Unpaid,6 Months,Open
DIGITAL MARKETING INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Communication, MS Office",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTY4NzkyNjk5N2ZlOTgwOWE2Zg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTY4NzkyNjk5N2ZlOTgwOWE2Zg==,AICTE Internship Portal,DIGITAL MARKETING INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
CORE JAVA PROGRAMMING INTERNSHIP,Uniconverge Technologies Pvt Ltd,Java,0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTY0ODI1Njk5N2VmMTljMjc5OQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTY0ODI1Njk5N2VmMTljMjc5OQ==,AICTE Internship Portal,CORE JAVA PROGRAMMING INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
INTERNET OF THINGS (IOT) & EMBEDDED SYSTEMS INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Communication, MS Office",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTA0MDEzNjk5NzAxOGQ5OTM5Yw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTA0MDEzNjk5NzAxOGQ5OTM5Yw==,AICTE Internship Portal,INTERNET OF THINGS (IOT) & EMBEDDED SYSTEMS INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
UI/UX DESIGN & PRODUCT DESIGN INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Communication, MS Office",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTAwMzIxNjk5NmYzMjE2Mjc2Zg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNTAwMzIxNjk5NmYzMjE2Mjc2Zg==,AICTE Internship Portal,UI/UX DESIGN & PRODUCT DESIGN INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
GENERATIVE AI AND PROMPT ENGINEERING INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Python, Machine Learning",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNDkwNDc5Njk5NmNjYWZiZTVmNw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNDkwNDc5Njk5NmNjYWZiZTVmNw==,AICTE Internship Portal,GENERATIVE AI AND PROMPT ENGINEERING INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
DATA SCIENCE AND ANALYTICS INTERNSHIP,Uniconverge Technologies Pvt Ltd,"Data Analysis, Excel",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNDg3MjMyNjk5NmMwMDAzNTRhYQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNDg3MjMyNjk5NmMwMDAzNTRhYQ==,AICTE Internship Portal,DATA SCIENCE AND ANALYTICS INTERNSHIP internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING INTERNSHIP 6 WEEKS,Uniconverge Technologies Pvt Ltd,"Python, Machine Learning",0.0,Any Graduate,Pan India,31-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNDg1MTk3Njk5NmI4MGRkYjlhZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzcxNDg1MTk3Njk5NmI4MGRkYjlhZA==,AICTE Internship Portal,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING INTERNSHIP 6 WEEKS internship at Uniconverge Technologies Pvt Ltd. Duration: 6 Weeks. Stipend: Unpaid.,Unpaid,6 Weeks,Open
MUNICIPAL FINANCE INTERN,"State Mission Management Unit, AMRUT Kerala","Communication, MS Office",0.0,Any Graduate,Thiruvananthapuram ,15-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVkFNXzE3NzA3OTI3Mjk2OThjMjcxOTBiNmM2&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVkFNXzE3NzA3OTI3Mjk2OThjMjcxOTBiNmM2&level=Mg==,AICTE Internship Portal,"MUNICIPAL FINANCE INTERN internship at State Mission Management Unit, AMRUT Kerala. Duration: 6 Months. Stipend: 10000 /month.",10000 /month,6 Months,Open
6 MONTHS INTERNSHIP IN INTEGRATED VLSI DESIGNING,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,19-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzY4ODAzMTU5Njk2ZGNiNTcwNDNmZg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzY4ODAzMTU5Njk2ZGNiNTcwNDNmZg==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN INTEGRATED VLSI DESIGNING internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN FINANCIAL MODELLING & VALUATION,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,10-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzY4MDY1MzQyNjk2Mjg5M2U5NGQyNQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzY4MDY1MzQyNjk2Mjg5M2U5NGQyNQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN FINANCIAL MODELLING & VALUATION internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
INTERNS FOR OUHM ( GRADUATE IN SOCIAL SCIENCE / ANY GRADUATE),Housing and Urban development Department Odisha,"Communication, MS Office",0.0,Any Graduate,Bhubaneswar ,15-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzY3NDIwMjE1Njk1OGIxMzcxYTViMA==&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzY3NDIwMjE1Njk1OGIxMzcxYTViMA==&level=Mg==,AICTE Internship Portal,INTERNS FOR OUHM ( GRADUATE IN SOCIAL SCIENCE / ANY GRADUATE) internship at Housing and Urban development Department Odisha. Duration: 6 Months. Stipend: 5000 /month.,5000 /month,6 Months,Open
INTERNS FOR OUHM (B.TECH CIVIL ENGINEERING),Housing and Urban development Department Odisha,"Communication, MS Office",0.0,Any Graduate,Bhubaneswar ,15-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzY3MzM5NzgyNjk1Nzc3MDY3N2RjOA==&level=Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzY3MzM5NzgyNjk1Nzc3MDY3N2RjOA==&level=Mg==,AICTE Internship Portal,INTERNS FOR OUHM (B.TECH CIVIL ENGINEERING) internship at Housing and Urban development Department Odisha. Duration: 6 Months. Stipend: 7500 /month.,7500 /month,6 Months,Open
6 MONTHS INTERNSHIP IN DATA ANALYTICS,SURE Trust,"Data Analysis, Excel",0.0,Any Graduate,Pan India,01-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzY3Mjg3MTgwNjk1NmE5OGMzNzhiZQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzY3Mjg3MTgwNjk1NmE5OGMzNzhiZQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN DATA ANALYTICS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN PROJECT- BASED ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,SURE Trust,"Python, Machine Learning",0.0,Any Graduate,Pan India,18-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYzNDc3Mzc0NjkxYzg3N2VhYWM2Mg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYzNDc3Mzc0NjkxYzg3N2VhYWM2Mg==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN PROJECT- BASED ARTIFICIAL INTELLIGENCE & MACHINE LEARNING internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
SOFTWARE ENGINEER (INTERN),KONIGTRONICS PRIVATE LIMITED,"Communication, MS Office",0.0,Any Graduate,Bangalore,03-Oct-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYyMTI1NTU3NjkwN2U2ZjVhNmZmNw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYyMTI1NTU3NjkwN2U2ZjVhNmZmNw==,AICTE Internship Portal,SOFTWARE ENGINEER (INTERN) internship at KONIGTRONICS PRIVATE LIMITED. Duration: 6 Months. Stipend: 5000 /month.,5000 /month,6 Months,Open
DATA ANALYST (INTERN),KONIGTRONICS PRIVATE LIMITED,"Data Analysis, Excel",0.0,Any Graduate,Pan India,18-Oct-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYwNzgxNjg3NjhmMzY1NzdhY2IzMg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYwNzgxNjg3NjhmMzY1NzdhY2IzMg==,AICTE Internship Portal,DATA ANALYST (INTERN) internship at KONIGTRONICS PRIVATE LIMITED. Duration: 6 Months. Stipend: 5000 /month.,5000 /month,6 Months,Open
6 - MONTH INTERNSHIP IN SMART LOGISTICS: A CROSS-SECTORAL TECH PERSPECTIVE,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,09-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYwMDMxNTMzNjhlN2YzMmRiOTNiNw==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzYwMDMxNTMzNjhlN2YzMmRiOTNiNw==,AICTE Internship Portal,6 - MONTH INTERNSHIP IN SMART LOGISTICS: A CROSS-SECTORAL TECH PERSPECTIVE internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN SAP FICO / S/4 HANA APPLICATIONS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTYwMzEwNjhjODU4NzYyYzA2OA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTYwMzEwNjhjODU4NzYyYzA2OA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN SAP FICO / S/4 HANA APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN ANDROID APP DEVELOPMENT,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,14-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTU4NTI2NjhjODUxN2VlNTcwYQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTU4NTI2NjhjODUxN2VlNTcwYQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN ANDROID APP DEVELOPMENT internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN DATA STRUCTURES AND ALGORITHMS USING C++,SURE Trust,"Data Analysis, Excel",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTU1OTk0NjhjODQ3OWFjOWY3YQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTU1OTk0NjhjODQ3OWFjOWY3YQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN DATA STRUCTURES AND ALGORITHMS USING C++ internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN DATA STRUCTURES AND ALGORITHMS USING PYTHON,SURE Trust,"Python, Data Analysis, Excel",0.0,Any Graduate,Pan India,14-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTU0NTI4NjhjODQxZTA3MjQ1NA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTU0NTI4NjhjODQxZTA3MjQ1NA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN DATA STRUCTURES AND ALGORITHMS USING PYTHON internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN ROBOTICS APPLICATIONS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,14-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTUzMzQ1NjhjODNkNDEwZGZiMg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTUzMzQ1NjhjODNkNDEwZGZiMg==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN ROBOTICS APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN DATA STRUCTURES AND ALGORITHMS USING JAVA,SURE Trust,"Data Analysis, Excel, Java",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTQ4NzAwNjhjODJiMWMxZmFiZg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3OTQ4NzAwNjhjODJiMWMxZmFiZg==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN DATA STRUCTURES AND ALGORITHMS USING JAVA internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN SOFTWARE TESTING & TOOLS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3ODM0MTI0NjhjNjZiOGNiN2Q1ZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3ODM0MTI0NjhjNjZiOGNiN2Q1ZA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN SOFTWARE TESTING & TOOLS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN PCB DESIGNING,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjY0NTI1NjhjM2Q1MGRhZDg3NA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjY0NTI1NjhjM2Q1MGRhZDg3NA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN PCB DESIGNING internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN CLOUD COMPUTING APPLICATIONS,SURE Trust,"Cloud Computing, Linux",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjExNDI2NjhjMzA1YTJjMmRhMA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjExNDI2NjhjMzA1YTJjMmRhMA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN CLOUD COMPUTING APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN UI/UX DESIGNING,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjEwNDM4NjhjMzAxYzY1ODMzZA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjEwNDM4NjhjMzAxYzY1ODMzZA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN UI/UX DESIGNING internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN INDUSTRIAL AUTOMATION - ADVANCE PLC AUTOMATION,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjAxNzQ3NjhjMmRmZDMzN2E1Ng==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjAxNzQ3NjhjMmRmZDMzN2E1Ng==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN INDUSTRIAL AUTOMATION - ADVANCE PLC AUTOMATION internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN ROBOTIC PROCESS AUTOMATION,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjAwMzQ1NjhjMmRhNTk1ZmIwNg==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NjAwMzQ1NjhjMmRhNTk1ZmIwNg==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN ROBOTIC PROCESS AUTOMATION internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN MEDICAL CODING APPLICATIONS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,11-Sep-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NTk4MTc1NjhjMmQxZGYyNzdiNA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU3NTk4MTc1NjhjMmQxZGYyNzdiNA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN MEDICAL CODING APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN FINANCIAL MODELLING AND EVALUATION,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,19-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU1Njg5NzU1NjhhNWIzMWJlY2Q1YQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU1Njg5NzU1NjhhNWIzMWJlY2Q1YQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN FINANCIAL MODELLING AND EVALUATION internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN DATA SCIENCE & DATA ANALYTICS,SURE Trust,"Data Analysis, Excel",0.0,Any Graduate,Pan India,12-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU0OTg1NTAzNjg5YWY0MWY5NjBkZQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU0OTg1NTAzNjg5YWY0MWY5NjBkZQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN DATA SCIENCE & DATA ANALYTICS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN AUTOCAD & SOLIDWORKS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,04-Aug-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU0NDEyMzcyNjg5MjM1NTRkZjNlZQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzU0NDEyMzcyNjg5MjM1NTRkZjNlZQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN AUTOCAD & SOLIDWORKS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN FULL STACK WEB DEVELOPMENT,SURE Trust,"HTML, CSS, JavaScript",0.0,Any Graduate,Pan India,25-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUzNTUyMzk1Njg4NTE2MGJkMDE4MQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUzNTUyMzk1Njg4NTE2MGJkMDE4MQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN FULL STACK WEB DEVELOPMENT internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN DIGITAL MARKETING APPLICATIONS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,24-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUzMzQ1MjczNjg4MWVjZjkxMzYyMA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUzMzQ1MjczNjg4MWVjZjkxMzYyMA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN DIGITAL MARKETING APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN SQL & POWERBI APPLICATIONS,SURE Trust,"Communication, MS Office",0.0,Any Graduate,Pan India,23-Jul-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUzMjkzMjc4Njg4MTIxZGVhMTU3ZQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUzMjkzMjc4Njg4MTIxZGVhMTU3ZQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN SQL & POWERBI APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
6 MONTHS INTERNSHIP IN CYBER SECURITY APPLICATIONS,SURE Trust,"Network Security, Linux",0.0,Any Graduate,Pan India,05-Jun-2026,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUxNzM0OTc3Njg2OTVhYzExN2RkNA==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUxNzM0OTc3Njg2OTVhYzExN2RkNA==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN CYBER SECURITY APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Expired
6 MONTHS INTERNSHIP IN JAVA APPLICATIONS,SURE Trust,Java,0.0,Any Graduate,Pan India,05-Jun-2030,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUxNzE1MzcwNjg2OTBlMmE0NDRkMQ==,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzUxNzE1MzcwNjg2OTBlMmE0NDRkMQ==,AICTE Internship Portal,6 MONTHS INTERNSHIP IN JAVA APPLICATIONS internship at SURE Trust. Duration: 6 Months. Stipend: Unpaid.,Unpaid,6 Months,Open
